"business_id","name","city","state","stars","review_count","categories","latitude","longitude","is_open","postal_code"
"4n81G-pmC3rfhmaPsbwYKg","Vince Neil's Tatuado | Eat, Drink, Party","Las Vegas","NV",4.5,3,"Bars, Sports Bars, Nightlife, Beer, Wine & Spirits, Restaurants, Food, American (Traditional)",36.1020497898,-115.1562883,1,89169
"y-1sMhUMubrHWdIW4FaE8w","Wendy's","Madison","WI",2.5,7,"Fast Food, Sandwiches, Restaurants, Burgers",43.062872,-89.308293,1,53716
"iwGhazq9eP51PSerTrMrwg","Mr G's Pub & Grub","Las Vegas","NV",4,27,"Dive Bars, Food, Bars, Pubs, Restaurants, Nightlife, American (Traditional), Beer, Wine & Spirits",36.1290404,-115.0912939,1,89121
"CPgz4srKkE5u9aoBAOaQsA","Davidson Pizza Company","Davidson","NC",3.5,23,"Chicken Wings, Pizza, Salad, Restaurants",35.5008943,-80.8540364,1,28036
"OwXMxqxIy4YoprAjnoUoiA","B & M Bar-B-Que Shaw","Cleveland","OH",3.5,4,"Barbeque, Restaurants",41.5408904,-81.5953266,1,44108
"0G83H_zoum-Q4bWU2olTqQ","Bonjour Bakery & Deli","Las Vegas","NV",4.5,39,"Restaurants, Food, Delis, Desserts, Bakeries, Coffee & Tea",36.1161693,-115.2418516,1,89103
"U3-kxz7NWq4ix4bPmKKQ0w","Aladdin's Eatery","Mentor","OH",4.5,47,"Ethnic Food, Specialty Food, Food, Restaurants, Vegetarian, Mediterranean, Middle Eastern",41.6738589,-81.3228213,1,44060
"dUffgo9Lh_Vk9TLuFR5ywg","Oregano's Pizza Bistro","Phoenix","AZ",3.5,563,"Restaurants, Pizza, Sandwiches, Italian",33.50951,-112.060238,1,85014
"c7JoAt6a3Ufkpn3TrGU23A","Santanas Mexican Food","Phoenix","AZ",3,6,"Mexican, Restaurants",33.436984,-112.1012667,1,85009
"q4P3WHwC0lFafwvTlkKMIw","Ron's Pizza Palace","Pittsburgh","PA",3,6,"Restaurants, Pizza",40.4620076,-79.9838041,1,15212
"hZj2HCiLae5-AxIp0im6lQ","Route 28 Bar & Grille","Pittsburgh","PA",2.5,7,"Bars, Nightlife, Restaurants, American (Traditional)",40.5015563,-79.8606291,1,15238
"vg4ynLZ0yJ89pT4s_CEMzQ","Five Guys","Phoenix","AZ",3.5,23,"Fast Food, Restaurants, Burgers, Food",33.3786989221,-112.0310130715,1,85042
"e-9f6vasnWh3z0uOq287Aw","Pizza Hut","Phoenix","AZ",2,14,"Restaurants, Italian, Pizza, Fast Food, Chicken Wings",33.479506,-112.046931,1,85006
"ItmLljzhwhuyyvekNs4Ymg","Jersey Mike's Subs","Middleton","WI",4,20,"Fast Food, Restaurants, Delis, Sandwiches, Wraps",43.0914253964,-89.527287314,1,53562
"jX9DocoiY4Bo9EUkaTSqvg","China AAA","Henderson","NV",4.5,149,"Restaurants, Hawaiian, Chinese, Japanese, Poke, Asian Fusion, Mexican, Food",35.99822,-115.102246,1,89052
"ecJri9ozyke4dOCWulZiRQ","Nishikawa Ramen","Chandler","AZ",4,427,"Asian Fusion, Japanese, Restaurants, Ramen, Tapas Bars",33.3200057,-111.8096749,1,85225
"3e0IGa_-zqTemKLc1dbdmg","Phusion Cafe","Cleveland","OH",3.5,17,"Restaurants, Taiwanese",41.5109853006,-81.6030496359,1,44106
"iA9xu-6oOFynZQxO5qrauQ","DOC Holliday's Saloon","Henderson","NV",3,3,"Nightlife, Restaurants, Bars",35.9798374,-115.099095,1,89052
"mofOjB6flg-eAWOFbOkHfQ","ChinaTown Buffet","Champaign","IL",2.5,72,"Sushi Bars, Buffets, Restaurants, Chinese",40.13727,-88.2560426,1,61822
"El6Bum4I-0VWJRgzbtscJQ","Jimmy John's","Wexford","PA",3,11,"Fast Food, Sandwiches, Restaurants, Food, Food Delivery Services, Delis",40.6320562,-80.0585513,1,15090
"F6c3D1o9Z4Tl6cDorb3WgA","Hello Bistro","Pittsburgh","PA",3.5,75,"Burgers, Restaurants, Cafes, Salad, Sandwiches",40.5701342672,-80.0214552865,1,15237
"JO5_Frcbp9J732VNn-I3Ew","Steak ’n Shake","Brunswick","OH",2,44,"American (New), Burgers, Diners, Restaurants, Fast Food, Breakfast & Brunch, American (Traditional)",41.2378014833,-81.8060022,1,44212
"Ye6Bdtw2lq5Y6FeX-p377Q","Veltree","Charlotte","NC",4.5,7,"Vegan, Soul Food, Restaurants, Food, Juice Bars & Smoothies",35.29692,-80.75539,1,28262
"_WyTVGIhZIqesE4DLrcTvA","Ron's Restaurant","Monroe","NC",4,11,"Burgers, Restaurants, American (Traditional)",35.027041,-80.603617,1,28110
"UdL8Z06DaNj6qhen0fEH9A","Mariscos El Dorado Sin","Phoenix","AZ",2,7,"Mexican, Restaurants, Seafood",33.3945859,-112.0736843,1,85040
"6XImdD5qH_LFZhHeLjLaGQ","Arbys Restaurant Higley Rd","Mesa","AZ",3,8,"Sandwiches, Fast Food, Restaurants",33.4502623,-111.718404,1,85205
"m4DwPVxmFDQE_FnGIOa3cQ","Sunny China Buffet","Urbana","IL",3.5,15,"Buffets, Chinese, Restaurants",40.0976392,-88.1912166,1,61802
"UPh90LM8UMnVFQP6NGktrA","Cakes On the Move","Henderson","NV",5,57,"Restaurants, Bakeries, Food",35.9870045,-114.942718,1,89002
"hXzoNgpkC86K_Jfg_zMHvA","PHO KC","Glendale","AZ",4.5,96,"Vietnamese, Restaurants",33.6524694411,-112.185678981,1,85308
"dtpFxDbBTBl90NyttDqoMg","2 Girls' Cafe & Bakery","Stow","OH",4,16,"Food, Restaurants, Bakeries, Cafes",41.1654526,-81.4392963,1,44224
"GiTv0gFXtYFQAzCXnPvepQ","Chili's","Charlotte","NC",2.5,48,"Restaurants, American (Traditional), American (New), Tex-Mex, Bars, Nightlife",35.1621387,-80.8868514,1,28217
"tylsscXmLq03-DzGI36bIA","Squaw Peak Cafe","Phoenix","AZ",3.5,8,"Restaurants, Sandwiches, Salad, Pizza",33.4791900432,-112.0314878225,1,85016
"HqerocZHKSRFD8NTrIkbaw","Taxco Mexican Grill","Mint Hill","NC",3,52,"Restaurants, Mexican",35.172354,-80.661499,1,28227
"3-aEgS7X2jrbxA7sA1nARw","La Flor De Calabaza","Phoenix","AZ",3,90,"Breakfast & Brunch, Lounges, Nightlife, Latin American, Mexican, Bars, Restaurants",33.4559491,-112.072089,1,85004
"k2b3niokS_tosjah_rzCPw","Metro Pizza","Las Vegas","NV",3.5,303,"Restaurants, Pizza",36.2836689,-115.2702841,1,89131
"lK-wuiq8b1TuU7bfbQZgsg","Hingetown","Cleveland","OH",3,4,"Flowers & Gifts, Art Galleries, Coffee & Tea, Arts & Entertainment, Food, Cafes, Museums, Restaurants, Local Flavor, Shopping Centers, Shopping, Florists",41.4893428107,-81.711028698,1,44113
"QcUKFdAWxFq42-zE96cS-A","Pita Pit","Indian Trail","NC",4,34,"Mediterranean, Restaurants, Breakfast & Brunch, Fast Food, Middle Eastern, Sandwiches",35.0631169,-80.633164,1,28079
"QS3QxI7u5PRdtbGgI0-UsA","Sakana Sushi & Grill","Scottsdale","AZ",4,347,"Asian Fusion, Restaurants, Seafood, Sushi Bars, Japanese",33.5380294431,-111.9056757902,1,85250
"ZBE-H_aUlicix_9vUGQPIQ","Hickory Tavern","Charlotte","NC",3,100,"Bars, Restaurants, Sports Bars, Chicken Wings, American (Traditional), Nightlife",35.344936,-80.842227,1,28269
"AMN3Sgns9tB2x-b3eWk0qQ","Noodles Ranch","Scottsdale","AZ",4,457,"Vietnamese, Restaurants",33.4793671,-111.9247231,1,85257
"yGMCl0vYigshkXiZFIDTNw","Mimi's Cafe","Glendale","AZ",3,184,"Nightlife, Restaurants, American (Traditional), Wine Bars, Bars, Breakfast & Brunch, French",33.6386542,-112.219354,1,85308
"yuhnMOLGmXHhQxyp1V_rBw","Genghis Grill","Matthews","NC",3.5,84,"Do-It-Yourself Food, Asian Fusion, Chinese, Mongolian, Food, Restaurants",35.1338014,-80.7117827,1,28105
"rwscnQMpddjkVNaJQhNuHw","Birrieria Obregon","Phoenix","AZ",4,24,"Mexican, Restaurants",33.4753533,-112.1348711,1,85009
"p8u03IURLPg_5jYSY3OmMQ","Farmer Boy","Akron","OH",3,34,"American (New), Restaurants",41.113789,-81.496875,1,44310
"dusNIzdCaH6EoLl2hRy6cQ","Chipotle Mexican Grill","Las Vegas","NV",3.5,115,"Fast Food, Mexican, Restaurants",36.120095,-115.171769,1,89109
"uNtO37bzsKCHaRUpLm4Qzw","Subway","Surprise","AZ",3,4,"Sandwiches, Fast Food, Restaurants",33.6388214,-112.3997883,1,85374
"iW0_acsRQtjlpE_8O6l1_Q","The Roman Candle Pizzeria","Fitchburg","WI",3,56,"Restaurants, Pizza",43.0003778,-89.4258729,1,53711
"221yaXPE1zmJqDvBVM__tw","Baskin-Robbins","Goodyear","AZ",2.5,26,"American (Traditional), Ice Cream & Frozen Yogurt, Food, Restaurants",33.4575713,-112.3931507,1,85338
"3KzzG6dw5aN9eIo3cGHaSA","Steak ’n Shake","Willoughby","OH",2.5,43,"Restaurants, Fast Food, Burgers, American (Traditional), American (New), Breakfast & Brunch, Diners",41.6234487,-81.4392608,1,44094
"pvKp4m3eFeHv15kYZaq1Bw","Papa John's","Canonsburd","PA",1.5,10,"Restaurants, Pizza",40.2634088,-80.1738737,1,15317
"RGK23CEkDfYHWtUbRhA-bQ","The Turnhouse Grille","Charlotte","NC",4.5,102,"Burgers, Restaurants, American (New), Bars, American (Traditional), Nightlife",35.1717355947,-80.8492714539,1,28209
"-bd4BQcl1ekgo7avaFngIw","Eggstasy","Scottsdale","AZ",3.5,646,"Diners, Breakfast & Brunch, Restaurants",33.5825076235,-111.9312195007,1,85254
"Ya-HZZrzMWYSBtGyLajDQg","Nathan's Famous","Champlain","NY",4,4,"Convenience Stores, Hot Dogs, Gas Stations, Burgers, Automotive, Food Stands, Restaurants, Comfort Food, Food, Fast Food",44.9811404098,-73.458718434,1,12919
"cmsAFAymfVoBitSF8R6GKw","Yao Fine Chinese Cuisine","Gilbert","AZ",4,200,"Chinese, Restaurants",33.30483,-111.788866,1,85295
"R_18EYQLNho8-xH6FTRymw","Long Wong's Famous Wings","Phoenix","AZ",3,8,"Pizza, Chicken Wings, Burgers, Restaurants",33.5194909639,-112.1173717113,1,85017
"MDJqm5KN1hFWm4R2VtNIlw","Waffle House","Pineville","NC",3.5,33,"Diners, American (Traditional), Restaurants, Breakfast & Brunch, Waffles, American (New), Fast Food, Burgers",35.087963,-80.858488,1,28134
"Um2H2xUT0eamjN6ivIUAiA","Ben & Jerry's","Davidson","NC",4.5,10,"Restaurants, Desserts, Food, Caterers, Ice Cream & Frozen Yogurt, Bakeries, Event Planning & Services",35.4981372,-80.8493039,1,28036
"i68lkBrGgUVwOk-LSvMj_A","Sree's Foods","Pittsburgh","PA",3,8,"Pakistani, Indian, Restaurants, Food",40.4407672,-79.9587973,1,15213
"ol2r325YnfuHcq7yeO3vdg","Subway","Sun City","AZ",2,13,"Sandwiches, Fast Food, Restaurants",33.60136,-112.287538,1,85351
"MYMoho8uONfkTvaVNL-pVQ","JC's Restaurant","Burton","OH",3.5,35,"Burgers, American (New), Sandwiches, Breakfast & Brunch, Restaurants",41.4709663391,-81.1464233398,1,44021
"U9vCFCDQMQ8GFr5z48h8tQ","Nancy B's Bakery","West Homestead","PA",5,56,"Bakeries, Food, Restaurants",40.4028552,-79.9171699,1,15120
"9vub2LM7Djy8P-LPumcLXA","Tacos Chiwas","Phoenix","AZ",4.5,453,"Restaurants, Latin American, Mexican, Tacos",33.465551,-112.0401151,1,85006
"r80qDv4gFhnixb2GRUmKeQ","Jet's Pizza","Parma","OH",4,22,"Restaurants, Pizza, Chicken Wings, Sandwiches",41.4155836,-81.731971,1,44129
"ILA41PhErg4bl1royzDX4g","S & V Urban Italian","Scottsdale","AZ",4,105,"Nightlife, Bars, Restaurants, Wine Bars, Pizza, Italian",33.5813628,-111.8796351,1,85260
"UmFty_GxdqVe35apYnmGbw","Showcase Pizza","Pittsburgh","PA",3,8,"Pizza, Restaurants",40.3398763,-79.9675504,1,15236
"JrrY4v21k7_qYxIidhi-aw","Kelly's Bar & Lounge","Pittsburgh","PA",3.5,166,"Lounges, Nightlife, American (Traditional), Bars, Restaurants",40.4599920866,-79.9244865083,1,15206
"hgQOESYp7CF4LnNI90XEiw","800 Degrees","Las Vegas","NV",3.5,296,"Pizza, Salad, Restaurants, Italian",36.1423694,-115.156034,1,89109
"bX4gfj2Kj22Lwm-nSsnnfg","Ferrucci's Old Tyme Italian Market","Cornelius","NC",4.5,59,"Event Planning & Services, Meat Shops, Italian, Caterers, Restaurants, Grocery, Specialty Food, Delis, Food",35.4875889596,-80.875062168,1,28031
"zUHIDqm_UKdnSygmWKtyRg","Food Lion","Charlotte","NC",3,5,"Delis, Restaurants",35.2106016,-80.7803278,1,28205
"1nF8Me63cpxIkFK8Ysx-DA","Shabu Shabu Paradise","Henderson","NV",4.5,248,"Fondue, Japanese, Restaurants",36.011899,-115.0628631,1,89012
"giCq1MmW-_S2tvNOAHvJcQ","Tarbell's The Tavern","Phoenix","AZ",4,107,"American (Traditional), Lounges, American (New), Mexican, Wine Bars, Restaurants, Nightlife, Bars, Cocktail Bars",33.5091229429,-112.0126287829,1,85018
"QSGerT1enEKlvJnYkwthHQ","Claim Jumper Restaurant & Saloon","Avondale","AZ",2.5,236,"Steakhouses, Restaurants, Bars, Nightlife, American (Traditional), Seafood",33.4630705155,-112.2778768672,1,85392
"BpJDI4Fj92lLNALQQeLvLg","Slice On Broadway","Pittsburgh","PA",4,43,"Pizza, Sandwiches, Salad, Restaurants",40.4471068992,-80.004138972,1,15212
"F06m2yQSPHIrb1IT7heYeQ","Rainbow Kitchen","Las Vegas","NV",4,101,"Chinese, Seafood, Cantonese, Noodles, Restaurants",36.0514499584,-115.2441147342,1,89139
"EJShgTy1lEkp48RLkMt1ag","Jack-In-the Box Drive Thru","Glendale","AZ",2,11,"Burgers, Restaurants",33.5381734,-112.1769763,1,85301
"HGc61UN2Gr9RGQXC6mXFNQ","Swirl Wine Bar","Solon","OH",4,71,"Wine Bars, Nightlife, American (New), Restaurants, Bars, Tapas/Small Plates",41.39023,-81.442376,1,44139
"GvEjbCm5sNdLZ4fzJ9hvUQ","Bahia De Kino","Mesa","AZ",3,7,"Restaurants, Mexican, Seafood",33.4079589844,-111.8536605835,1,85210
"CGUK3cd2gxp2q3KPY19Oog","Roots Cafe","Charlotte","NC",4,104,"Breakfast & Brunch, Restaurants, Coffee & Tea, Cafes, Food",35.2065071258,-80.8602583075,1,28203
"TNQMnauUy5jposO9P6WcJQ","Farmer Boy Restaurant","Amherst","OH",4.5,3,"Salad, Restaurants, Burgers, Breakfast & Brunch",41.3622256,-82.2208599,1,44001
"WZe-1SFcErsOT7gZY_x6wQ","Denny's","Surprise","AZ",2.5,57,"Restaurants, Diners, Breakfast & Brunch, American (Traditional)",33.6589000674,-112.376867598,1,85374
"IcHVYlgNGR-Zz8fnceiJ6g","The Monkey Bar","Pittsburgh","PA",4,26,"Restaurants, American (Traditional), Bars, Nightlife",40.327059139,-79.9442769808,1,15236
"vrSJPjntzfCPgogFPSCHiA","Don Patron","Streetsboro","OH",4,48,"Mexican, Food, Ethnic Food, Restaurants, Specialty Food, Imported Food",41.2532681839,-81.3638442734,1,44241
"qOuyItOatd-TF5kzhUlA9g","Starbucks","Cave Creek","AZ",4.5,11,"Restaurants, Food, Coffee & Tea",33.79740989,-111.9769144,1,85331
"H2Chxto2e6dHTDJ8-s3-pQ","Roberto's Taco Shop","Las Vegas","NV",3,64,"Mexican, Fast Food, Restaurants",36.1410796647,-115.1193113918,1,89169
"ncXQtqJT5Gk1QztwTrBrgw","New York Bagels 'N Bialys","Scottsdale","AZ",4,307,"Restaurants, Delis, Breakfast & Brunch, American (Traditional), Food, Bakeries, Bagels",33.5796797,-111.9275444,1,85253
"aXsmmtepl0JZNcl3pkXqww","Sacks Sandwiches - Hardy","Tempe","AZ",4,100,"Fast Food, Sandwiches, Restaurants, American (New)",33.4212223787,-111.9516137633,1,85281
"sMzNLdhJZGzYirIWt-fMAg","Sienna Mercato","Pittsburgh","PA",4,752,"Cocktail Bars, Italian, American (New), Nightlife, Bars, Pizza, Restaurants",40.4439496,-79.9964366,1,15222
"jwRBWbgTuiaQUrv-FpT8uw","Foote's Valley Farm","Valley View","OH",3.5,3,"Fruits & Veggies, Delis, Restaurants, Bakeries, Specialty Food, Farms, Arts & Entertainment, Food",41.3981336104,-81.6262366623,1,44125
"ZRdHKIjiIa0k5-ufCLyIaQ","Denny's","Phoenix","AZ",2.5,48,"American (Traditional), Breakfast & Brunch, Diners, American (New), Restaurants",33.6833375,-112.1149421,1,85027
"FKQUxOfW_W5R4OTut4G1Vw","Peppi's","Pittsburgh","PA",4,37,"Restaurants, Sandwiches",40.436969,-80.0004543,1,15222
"uwpPniaFEVkK5T_PWdQZ0A","Le Peep","Charlotte","NC",3.5,134,"Breakfast & Brunch, Restaurants, Coffee & Tea, American (Traditional), Food",35.096737,-80.778558,1,28277
"-pKhASvKFolihdipQfQXyA","Rally's","Elyria","OH",4,5,"Burgers, Fast Food, Restaurants",41.3771708,-82.0770363,1,44035
"yKpdzrqe_qIbu9dB6bj9Gg","PGA Tour Grill","Las Vegas","NV",2.5,80,"American (Traditional), Restaurants, Bars, Nightlife",36.0835550898,-115.1521726325,1,89119
"kKTXiGVLEVpPA7r2R6baVw","Uncle Joe's Bar & Grill","Parma Heights","OH",4,11,"Beer Bar, Beer, Wine & Spirits, Restaurants, American (New), Nightlife, Bars, Food",41.394558,-81.783869,1,44130
"cs1qJvnWUg_f8g020z_3PQ","Pizzeria Bianco","Phoenix","AZ",3.5,579,"Tapas/Small Plates, Italian, Pizza, Restaurants",33.5073476,-112.0376461,1,85016
"lXCmTGagqHuPgaeN2g2P1Q","Marcos Pizza","Las Vegas","NV",3.5,39,"Restaurants, Pizza",36.1438977,-115.0641604,1,89142
"tk7__jHNlFMsfShjv5CJNQ","Prince Restaurant","Las Vegas","NV",4,35,"American (Traditional), Modern European, Ukrainian, Burgers, Barbeque, Imported Food, Mediterranean, Specialty Food, Food, Ethnic Food, Restaurants",36.1140708,-115.2409255,1,89103
"9E1q2uEMd881wnruicNTUA","Buffalo Wild Wings","Scottsdale","AZ",3,133,"Sports Bars, Nightlife, Chicken Wings, Restaurants, Bars, American (Traditional)",33.5385580506,-111.8908726255,1,85250
"nxeeZnumQkrEFORtFpwSvA","Tavern In The Wall","Pittsburgh","PA",3.5,28,"Nightlife, Restaurants, Bars, Burgers, Delis",40.4903879,-79.9046284,1,15215
"5G9aIrRiCD4TZCC5j2D39A","Dunkin' Donuts","Moon","PA",4,8,"Bagels, Donuts, Coffee & Tea, Breakfast & Brunch, Restaurants, Food",40.5157666,-80.2216573,1,15108
"BxRsg5YTYnxXEhoGcabydg","Wandering Donkey","Cave Creek","AZ",3,20,"Mexican, Restaurants, Food, Food Trucks",33.8333716,-111.9507042,1,85331
"TreYsBGjXptogQQmQh1-bg","Showmars - Seventh Street","Charlotte","NC",3,37,"Breakfast & Brunch, Greek, American (Traditional), Restaurants, Mediterranean",35.212005,-80.817991,1,28204
"nYvBZYg9rfqWFTYuxSVMdw","Cantina Laredo","Westlake","OH",4,62,"Mexican, Bars, Restaurants, Vegetarian, Nightlife",41.4615685424,-81.9513030882,1,44145
"K0dp91jd_vqW4uNgvW6oag","Valliant's Diner","Pittsburgh","PA",3,32,"Restaurants, Breakfast & Brunch",40.5390935,-80.023619,1,15237
"qjuxlHtv_woIw9zPVWri5A","Daisy Mountain Coffee Roasters","Phoenix","AZ",4,81,"Sandwiches, Restaurants, Breakfast & Brunch, Coffee & Tea, Internet Cafes, Food",33.7996940069,-112.1286818051,1,85086
"JGXkldESnG69YXlSNVAgJQ","Eggheads","Pittsburgh","PA",2,3,"Restaurants, American (Traditional), Nightlife, Bars",40.3919342,-80.0134819,1,15226
"nrahyQyopCtajDqUtVVVfA","The Sushi","Henderson","NV",3.5,190,"Japanese, Sushi Bars, Restaurants",36.0114785,-114.9922411,1,89012
"tK-PQOhZo94fonbQVXaOSg","King Wok","Gilbert","AZ",4,128,"Chinese, Restaurants",33.3369054333,-111.7717713333,1,85296
"HbK6IfznbVToEaKVC0WcSg","The Clark Bar","Champaign","IL",3.5,24,"Karaoke, American (Traditional), Nightlife, Tapas Bars, Restaurants",40.1150169,-88.2461558,1,61820
"eU_713ec6fTGNO4BegRaww","La Tavola Italiana","Pittsburgh","PA",3.5,132,"Restaurants, Italian, Pizza",40.4267793,-80.005652,1,15211
"u5Wuzp8uC79IuCglLHXpag","Casa Del Sole Pizza","Aspinwall","PA",4,18,"Pizza, Restaurants",40.4904256,-79.9040956,1,15215
"mXyLqsbe7FT1X8ZFOP8WpQ","Blue 32 Sports Grill","Gilbert","AZ",4,369,"American (New), Nightlife, Restaurants, Sports Bars, Bars",33.3073245,-111.7573206,1,85295
"SAfuIUZMXrOnb3LWyvYjDA","Jun's Korean Restaurant","Las Vegas","NV",3.5,292,"Korean, Restaurants",36.029295364,-115.1158845155,1,89123
"VUbACJQR-_dVwyPYMFSodg","Takara 88","Middleton","WI",4,66,"Bars, Nightlife, Japanese, Sushi Bars, Lounges, Restaurants, Asian Fusion",43.0960983,-89.514471,1,53562
"h1JiQERQeiV8kxv5KRjWYA","Fresh Attractions","Charlotte","NC",2.5,35,"Restaurants, Sandwiches",35.2186768033,-80.9424017063,1,28208
"zzwhN7x37nyjP0ZM8oiHmw","Carmody's Grille","Pittsburgh","PA",4,54,"Restaurants, American (New)",40.5099687,-80.1253459,1,15225
"Gf40Ghm5UXOPjyeURX7s8g","Sully's Irish Pub","Medina","OH",4,80,"Nightlife, Bars, Restaurants, Irish, Pubs",41.1393615,-81.8647896,1,44256
"v7UIeEvwNd3fleFE6icm3A","Tacos Culichi","Phoenix","AZ",5,6,"Hot Dogs, Mexican, Restaurants, Tacos",33.4659534,-112.0170368,1,85008
"ecSkjwRS0Fn5NMkp-XwFuA","JP's Dog House","Phoenix","AZ",5,5,"Barbeque, Restaurants, Hot Dogs, Food Stands, American (New)",33.5238568924,-112.0472845529,1,85016
"aidcfUzZLOjWgwlxfv3UlA","Tony Big's Pizza N Pasta","Las Vegas","NV",3,106,"Italian, Pizza, Restaurants",36.0583571386,-115.2784112221,1,89113
"g-9ioGyD740qSJ1vSN-VrA","Lee's Wok","Imperial","PA",2.5,4,"Restaurants",40.4426319,-80.2362156,1,15126
"bGno_WKbepp48eqgUfRHMA","Lomi Poki","Scottsdale","AZ",4.5,55,"Food, Hawaiian, Salad, Restaurants, Seafood, Sushi Bars, Asian Fusion, Poke",33.6268709,-111.8931338,1,85260
"sQ6DZZLLJRfwUr0eDWKDDg","Tott's Asian Diner","Chandler","AZ",4,416,"Restaurants, Chinese, Asian Fusion",33.3212645,-111.9116902,1,85226
"W3ia8dkoGGRYEfFg_BiyPg","Einstein Bros Bagels","Las Vegas","NV",2.5,82,"Restaurants, Pizza, Food, Bagels, Sandwiches, Breakfast & Brunch",36.0574675327,-115.1207419292,1,89119
"H9joK3yIE8CHkUPUwQmdLQ","Uncle Bo's Slow-n-low","North Ridgeville","OH",3,4,"Restaurants, Barbeque",41.3644602254,-82.056653629,1,44039
"U8ubLSxnCKRAJRmN1XWZaA","Oak Steakhouse Charlotte","Charlotte","NC",4,102,"Steakhouses, Restaurants",35.1466338,-80.8311183,1,28210
"o9nGD3J0btXjE9M6IdgZTA","McAlister's Deli","Champaign","IL",3,50,"Salad, Delis, Restaurants, Sandwiches, Food",40.14166846,-88.2503601437,1,61820
